scenario,slice,metric,agent_a,agent_b,mean_delta,effect_size_dz,effect_size_label,favored_agent
missing_data_bias,surface_shift,fairness_gap_ses,baseline,causal_light,0.007679052284229191,0.592904055363579,medium,causal_light
missing_data_bias,adversarial,success_rate,baseline,causal_light,-0.13708333333333333,-10.010140115753108,large,causal_light
missing_data_bias,adversarial,near_optimal_rate,baseline,causal_light,-0.0698333333333333,-8.621658014153104,large,causal_light
missing_data_bias,adversarial,avg_cost,baseline,causal_light,0.198775,19.313464971256305,large,causal_light
missing_data_bias,adversarial,fairness_gap_ses,baseline,causal_light,0.005729298622419871,0.3892525625008933,small,causal_light
missing_data_bias,degradation,success_rate_drop,baseline,causal_light,0.05116666666666667,2.2446571760838365,large,causal_light
missing_data_bias,degradation,fairness_gap_increase,baseline,causal_light,-1.6922560082856773e-05,-0.001120295374489437,negligible,baseline
missing_data_bias,degradation,near_optimal_rate_drop,baseline,causal_light,0.037333333333333274,4.23540287877102,large,causal_light
missing_data_bias,overall,success_rate,baseline,stability_filtered,-0.12066666666666664,-3.1545445770149856,large,stability_filtered
missing_data_bias,overall,near_optimal_rate,baseline,stability_filtered,-0.04536111111111112,-8.269363905835181,large,stability_filtered
missing_data_bias,overall,avg_cost,baseline,stability_filtered,0.2337944444444444,2.856774368143676,large,stability_filtered
missing_data_bias,overall,fairness_gap_ses,baseline,stability_filtered,0.010467869821697185,1.4732791457704855,large,stability_filtered
missing_data_bias,normal,success_rate,baseline,stability_filtered,-0.09983333333333333,-2.382289741686861,large,stability_filtered
missing_data_bias,normal,near_optimal_rate,baseline,stability_filtered,-0.03058333333333336,-4.819701584284586,large,stability_filtered
missing_data_bias,normal,avg_cost,baseline,stability_filtered,0.20562500000000003,2.485896022165651,large,stability_filtered
missing_data_bias,normal,fairness_gap_ses,baseline,stability_filtered,0.005206002038038883,0.7759232168176596,medium,stability_filtered
missing_data_bias,surface_shift,success_rate,baseline,stability_filtered,-0.11299999999999999,-3.086924760601067,large,stability_filtered
missing_data_bias,surface_shift,near_optimal_rate,baseline,stability_filtered,-0.039666666666666704,-5.0426033469358105,large,stability_filtered
missing_data_bias,surface_shift,avg_cost,baseline,stability_filtered,0.22930833333333334,2.8256120176505592,large,stability_filtered
missing_data_bias,surface_shift,fairness_gap_ses,baseline,stability_filtered,0.010138167170037822,0.6741286917636319,medium,stability_filtered
missing_data_bias,adversarial,success_rate,baseline,stability_filtered,-0.1491666666666667,-3.623479081716906,large,stability_filtered
missing_data_bias,adversarial,near_optimal_rate,baseline,stability_filtered,-0.0658333333333333,-8.050106919582174,large,stability_filtered
missing_data_bias,adversarial,avg_cost,baseline,stability_filtered,0.26645,3.221522163618455,large,stability_filtered
missing_data_bias,adversarial,fairness_gap_ses,baseline,stability_filtered,0.0056955626089876905,0.5649652179350767,medium,stability_filtered
missing_data_bias,degradation,success_rate_drop,baseline,stability_filtered,0.04933333333333334,2.2009246147085686,large,stability_filtered
missing_data_bias,degradation,fairness_gap_increase,baseline,stability_filtered,0.0004895605709488072,0.03984996690559631,negligible,stability_filtered
missing_data_bias,degradation,near_optimal_rate_drop,baseline,stability_filtered,0.03524999999999994,3.4713713110136766,large,stability_filtered
