scenario,slice,metric,agent_a,agent_b,p_raw,p_holm,p_bh,p_paired_t,p_paired_t_holm,p_paired_t_bh,correction_family,family_size
treatment_allocation_confounding,adversarial,near_optimal_rate,baseline,workflow,0.00048828125,0.01953125,0.0006734913793103449,1.355282294443776e-06,2.7105645888875518e-05,2.482061738330187e-06,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,avg_cost,baseline,workflow,0.00048828125,0.01953125,0.0006734913793103449,8.886068871621704e-10,2.5769599727702942e-08,2.9620229572072348e-09,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,fairness_gap_ses,baseline,workflow,0.00048828125,0.01953125,0.0006734913793103449,2.3024717490941487e-09,6.216673722554202e-08,6.5784907116975675e-09,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,degradation,success_rate_drop,baseline,workflow,0.0341796875,0.2392578125,0.042724609375,0.02974466589958522,0.20821266129709654,0.03718083237448152,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,fairness_gap_increase,baseline,workflow,0.00146484375,0.0263671875,0.0029296875,0.007373192702489486,0.08110511972738434,0.01105978905373423,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,near_optimal_rate_drop,baseline,workflow,0.00048828125,0.0146484375,0.0013316761363636363,7.879365229179694e-06,0.00018910476550031266,3.376870812505583e-05,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,overall,success_rate,causal_light,stability_filtered,0.07373046875,0.6689453125,0.0921630859375,0.07006080075151208,0.6364600237126689,0.08757600093939011,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,near_optimal_rate,causal_light,stability_filtered,0.9658203125,1.0,0.9658203125,0.938736243777903,1.0,0.9628064038747723,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,avg_cost,causal_light,stability_filtered,0.85986328125,1.0,0.9051192434210527,0.8794717269199267,1.0,0.9257597125472913,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,overall,fairness_gap_ses,causal_light,stability_filtered,0.00048828125,0.01953125,0.0007512019230769231,7.74277851665134e-07,1.5485557033302678e-05,1.474814955552636e-06,treatment_allocation_confounding::overall,40
treatment_allocation_confounding,normal,success_rate,causal_light,stability_filtered,0.0302734375,0.3515625,0.040364583333333336,0.02597649666166273,0.31171795993995277,0.03475262030586253,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,near_optimal_rate,causal_light,stability_filtered,0.6796875,1.0,0.6971153846153846,0.6339826480705933,1.0,0.6502386134057367,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,normal,avg_cost,causal_light,stability_filtered,0.92333984375,1.0,0.92333984375,0.9145044533226094,1.0,0.9145044533226094,treatment_allocation_confounding::normal,40
